Owen Wright, surfing, men
Australia, swimming, men's 4x100m freestyle relay
Australia, swimming, men's 4x200m freestyle relay
Brendon Smith, swimming, men's 400m individual medley
Emma McKeon, swimming, women's 100m butterfly
Jessica Fox, canoe slalom, women's kayak
Rohan Dennis, cycling road, men's individual time trial
Australia, rowing, men's quadruple sculls
Australia, rowing, women's quadruple sculls
Australia, men's 4x200m freestyle relay
Cate Campbell, swimming, women's 100m freestyle
Emily Seebohm, swimming, women's 200m backstroke
Australia, swimming, mixed 4x100m medley relay
Barty / Peers, tennis, mixed doubles
Andrew Hoy, equestrian, eventing individual
Australia, cycling track, men's team pursuit
Kareena Lee, marathon swimming, women's 10km
Ashley Moloney, athletics, men's decathlon
Melissa Wu, diving, women's 10m platform
Harry Garside, boxing, men's light
Kelsey-Lee Barber, athletics, women's javelin
Australia, basketball, men
